,word,wordCount,wordImportance
0,:,6015,0.0004990847901028807
1,@,5005,0.0005997992032904751
2,http,3765,0.0007973426327938454
3,!,2964,0.0010128188301176883
4,#,2670,0.0011243427012991864
5,.,2006,0.0014965079822875514
6,-,1880,0.0015968058576961849
7,",",1668,0.0017997572017199209
8,rt,1347,0.0022286525705039555
9,'s,777,0.0038635714446188267
10,?,703,0.004270263175631334
11,),580,0.005175853469773842
12,;,527,0.005696385222901002
13,win,509,0.00589782910111754
14,giveaway,455,0.006597791236195226
15,n't,430,0.006981383749927506
16,$,427,0.007030433284470323
17,(,418,0.007181806249925426
18,...,378,0.007941785747272032
19,&,377,0.007962851491959756
20,enter,299,0.010040117098557953
21,via,273,0.010996318726992043
22,amp,259,0.011590714333856477
23,'m,249,0.012056204869352721
24,new,235,0.012774446861569479
25,',226,0.013283163771985965
26,um,220,0.013645431874858309
27,gift,217,0.013834078398473861
28,'',216,0.013898125057726056
29,youtube,216,0.013898125057726056
30,get,214,0.014028014076957139
31,card,205,0.014643878109604038
32,vã­deo,201,0.014935298569496656
33,gostei,200,0.015009975062344139
34,``,195,0.01539484621778886
35,justinbieber,193,0.015554378302947295
36,like,186,0.01613975813155284
37,good,183,0.016404344330430753
38,one,179,0.016770921857367754
39,today,178,0.016865140519487797
40,2,165,0.018193909166477746
41,..,152,0.01974996718729492
42,[,152,0.01974996718729492
43,],146,0.020561609674444026
44,blogboost,146,0.020561609674444026
45,3,145,0.020703413879095366
46,time,142,0.021140809946963577
47,*,140,0.021442821517634485
48,see,139,0.021597086420639053
49,want,137,0.02191237235378707
50,know,136,0.022073492738741384
51,love,135,0.022237000092361688
52,day,134,0.022402947854244987
53,go,126,0.023825357241816093
54,make,112,0.026803526897043104
55,got,111,0.027045000112331782
56,pack,110,0.027290863749716617
57,customer,107,0.028056028153914277
58,50,104,0.028865336658354116
59,'re,104,0.028865336658354116
60,business,104,0.028865336658354116
61,back,102,0.029431323651655177
62,na,101,0.02972272289573097
63,100,100,0.030019950124688277
64,gypsylullaby7,99,0.030323181944129578
65,|,98,0.030632602168049264
66,4,98,0.030632602168049264
67,entered,97,0.030948402190400286
68,us,95,0.03159994749967188
69,lol,94,0.0319361171539237
70,need,91,0.03298895618097613
71,going,90,0.03335550013854253
72,people,88,0.03411357968714577
73,happy,88,0.03411357968714577
74,'ll,86,0.034906918749637535
75,thank,86,0.034906918749637535
76,ca,85,0.03531758838198621
77,way,85,0.03531758838198621
78,well,85,0.03531758838198621
79,think,84,0.03573803586272414
80,show,83,0.03616861460805817
81,best,83,0.03616861460805817
82,still,81,0.037061666820602815
83,sweepstakes,81,0.037061666820602815
84,prize,80,0.03752493765586035
85,1,79,0.03799993686669402
86,really,77,0.038986948213880886
87,thanks,76,0.03949993437458984
88,ends,75,0.040026600166251036
89,iphone,75,0.040026600166251036
90,5,74,0.040567500168497674
91,'ve,73,0.04112321934888805
92,night,71,0.042281619893927154
93,find,71,0.042281619893927154
94,home,70,0.04288564303526897
95,would,70,0.04288564303526897
96,free,69,0.043507174093751134
97,life,69,0.043507174093751134
98,better,69,0.043507174093751134
99,watch,68,0.04414698547748277
100,right,68,0.04414698547748277
101,chelikans,67,0.04480589570848997
102,work,66,0.045484772916194356
103,much,66,0.045484772916194356
104,great,65,0.04618453865336659
105,haha,65,0.04618453865336659
106,could,65,0.04618453865336659
107,black,65,0.04618453865336659
108,post,64,0.04690617206982543
109,even,63,0.04765071448363219
110,game,63,0.04765071448363219
111,last,63,0.04765071448363219
112,set,62,0.04841927439465852
113,twitter,61,0.04921303299129226
114,marinaathegreat,60,0.050033250207813795
115,fedupmovie,59,0.05088127139777675
116,year,59,0.05088127139777675
117,help,58,0.05175853469773842
118,online,57,0.05266657916611979
119,christmas,56,0.05360705379408621
120,tips,56,0.05360705379408621
121,lilbrowngrrl,56,0.05360705379408621
122,case,56,0.05360705379408621
123,tonight,55,0.054581727499433234
124,check,55,0.054581727499433234
125,never,55,0.054581727499433234
126,world,54,0.05559250023090422
127,muhreeuh24,54,0.05559250023090422
128,marketing,54,0.05559250023090422
129,week,53,0.05664141532960053
130,amazon,53,0.05664141532960053
131,gc,52,0.05773067331670823
132,sure,52,0.05773067331670823
133,food,52,0.05773067331670823
134,yes,52,0.05773067331670823
135,read,52,0.05773067331670823
136,always,51,0.05886264730331035
137,social,51,0.05886264730331035
138,akunose,51,0.05886264730331035
139,2012,50,0.060039900249376554
140,canon,49,0.06126520433609853
141,sarahmayhem,49,0.06126520433609853
142,feel,49,0.06126520433609853
143,u,49,0.06126520433609853
144,shit,49,0.06126520433609853
145,blog,49,0.06126520433609853
146,gon,49,0.06126520433609853
147,awesome,49,0.06126520433609853
148,look,48,0.06254156275976724
149,music,48,0.06254156275976724
150,hope,47,0.0638722343078474
151,video,47,0.0638722343078474
152,oh,47,0.0638722343078474
153,keep,47,0.0638722343078474
154,/,47,0.0638722343078474
155,give,46,0.06526076114062669
156,start,46,0.06526076114062669
157,thing,46,0.06526076114062669
158,10,46,0.06526076114062669
159,hahaha,46,0.06526076114062669
160,menshealthmag,46,0.06526076114062669
161,next,46,0.06526076114062669
162,gt,45,0.06671100027708506
163,everyone,45,0.06671100027708506
164,media,45,0.06671100027708506
165,stop,45,0.06671100027708506
166,take,45,0.06671100027708506
167,let,44,0.06822715937429154
168,service,44,0.06822715937429154
169,say,43,0.06981383749927507
170,digital,43,0.06981383749927507
171,little,43,0.06981383749927507
172,looking,43,0.06981383749927507
173,%,43,0.06981383749927507
174,😒,43,0.06981383749927507
175,tomorrow,43,0.06981383749927507
176,25,42,0.07147607172544829
177,whole,42,0.07147607172544829
178,amazing,42,0.07147607172544829
179,try,42,0.07147607172544829
180,real,42,0.07147607172544829
181,anafielle,42,0.07147607172544829
182,use,41,0.0732193905480202
183,dreamofmelissa,41,0.0732193905480202
184,every,41,0.0732193905480202
185,facebook,41,0.0732193905480202
186,target,40,0.0750498753117207
187,+,40,0.0750498753117207
188,things,40,0.0750498753117207
189,ever,40,0.0750498753117207
190,’,40,0.0750498753117207
191,done,39,0.0769742310889443
192,usb,39,0.0769742310889443
193,may,39,0.0769742310889443
194,first,39,0.0769742310889443
195,big,39,0.0769742310889443
196,follow,39,0.0769742310889443
197,top,39,0.0769742310889443
198,hate,38,0.07899986874917968
199,school,38,0.07899986874917968
200,someone,38,0.07899986874917968
201,learn,38,0.07899986874917968
202,ok,38,0.07899986874917968
203,getting,38,0.07899986874917968
204,camera,38,0.07899986874917968
205,movie,38,0.07899986874917968
206,guys,37,0.08113500033699535
207,also,37,0.08113500033699535
208,please,37,0.08113500033699535
209,page,37,0.08113500033699535
210,hard,37,0.08113500033699535
211,away,37,0.08113500033699535
212,made,37,0.08113500033699535
213,nice,36,0.08338875034635633
214,....,36,0.08338875034635633
215,7,36,0.08338875034635633
216,getglue,36,0.08338875034635633
217,hey,36,0.08338875034635633
218,lt,36,0.08338875034635633
219,daily,35,0.08577128607053794
220,join,35,0.08577128607053794
221,headphones,35,0.08577128607053794
222,success,35,0.08577128607053794
223,kids,35,0.08577128607053794
224,long,35,0.08577128607053794
225,makes,35,0.08577128607053794
226,pampers,34,0.08829397095496554
227,tell,34,0.08829397095496554
228,though,34,0.08829397095496554
229,x,34,0.08829397095496554
230,solrepublic,34,0.08829397095496554
231,sorry,34,0.08829397095496554
232,man,34,0.08829397095496554
233,something,34,0.08829397095496554
234,many,34,0.08829397095496554
235,bad,34,0.08829397095496554
236,customers,34,0.08829397095496554
237,men,34,0.08829397095496554
238,imagecomics,33,0.09096954583238871
239,news,33,0.09096954583238871
240,master,33,0.09096954583238871
241,yeah,33,0.09096954583238871
242,contest,33,0.09096954583238871
