,ds_type,n_samples,noise_level,clf_type,param,k,train_acc,test_acc,error_diff
0,circles,10,0.0,log_reg,0.001,0,0.5555555555555556,0.0,0.5555555555555556
1,circles,10,0.0,log_reg,0.01,0,0.5555555555555556,0.0,0.5555555555555556
2,circles,10,0.0,log_reg,0.1,0,0.5555555555555556,0.0,0.5555555555555556
3,circles,10,0.0,log_reg,1.0,0,0.7777777777777778,0.0,0.7777777777777778
4,circles,10,0.0,log_reg,10.0,0,0.8888888888888888,0.0,0.8888888888888888
5,circles,10,0.0,log_reg,100.0,0,0.8888888888888888,0.0,0.8888888888888888
6,circles,10,0.0,log_reg,1000.0,0,0.7777777777777778,0.0,0.7777777777777778
7,circles,10,0.0,svm,0.001,0,0.5555555555555556,0.0,0.5555555555555556
8,circles,10,0.0,svm,0.01,0,0.5555555555555556,0.0,0.5555555555555556
9,circles,10,0.0,svm,0.1,0,0.5555555555555556,0.0,0.5555555555555556
10,circles,10,0.0,svm,1.0,0,0.7777777777777778,0.0,0.7777777777777778
11,circles,10,0.0,svm,10.0,0,0.8888888888888888,0.0,0.8888888888888888
12,circles,10,0.0,svm,100.0,0,1.0,0.0,1.0
13,circles,10,0.0,svm,1000.0,0,1.0,0.0,1.0
14,circles,10,0.0,log_reg,0.001,1,0.5555555555555556,0.0,0.5555555555555556
15,circles,10,0.0,log_reg,0.01,1,0.5555555555555556,0.0,0.5555555555555556
16,circles,10,0.0,log_reg,0.1,1,0.5555555555555556,0.0,0.5555555555555556
17,circles,10,0.0,log_reg,1.0,1,0.7777777777777778,0.0,0.7777777777777778
18,circles,10,0.0,log_reg,10.0,1,0.7777777777777778,0.0,0.7777777777777778
19,circles,10,0.0,log_reg,100.0,1,0.6666666666666666,0.0,0.6666666666666666
20,circles,10,0.0,log_reg,1000.0,1,0.6666666666666666,0.0,0.6666666666666666
21,circles,10,0.0,svm,0.001,1,0.5555555555555556,0.0,0.5555555555555556
22,circles,10,0.0,svm,0.01,1,0.5555555555555556,0.0,0.5555555555555556
23,circles,10,0.0,svm,0.1,1,0.5555555555555556,0.0,0.5555555555555556
24,circles,10,0.0,svm,1.0,1,0.7777777777777778,0.0,0.7777777777777778
25,circles,10,0.0,svm,10.0,1,0.8888888888888888,0.0,0.8888888888888888
26,circles,10,0.0,svm,100.0,1,1.0,0.0,1.0
27,circles,10,0.0,svm,1000.0,1,1.0,0.0,1.0
28,circles,10,0.0,log_reg,0.001,2,0.5555555555555556,0.0,0.5555555555555556
29,circles,10,0.0,log_reg,0.01,2,0.5555555555555556,0.0,0.5555555555555556
30,circles,10,0.0,log_reg,0.1,2,0.5555555555555556,0.0,0.5555555555555556
31,circles,10,0.0,log_reg,1.0,2,0.6666666666666666,1.0,-0.33333333333333337
32,circles,10,0.0,log_reg,10.0,2,0.6666666666666666,1.0,-0.33333333333333337
33,circles,10,0.0,log_reg,100.0,2,0.6666666666666666,1.0,-0.33333333333333337
34,circles,10,0.0,log_reg,1000.0,2,0.6666666666666666,1.0,-0.33333333333333337
35,circles,10,0.0,svm,0.001,2,0.5555555555555556,0.0,0.5555555555555556
36,circles,10,0.0,svm,0.01,2,0.5555555555555556,0.0,0.5555555555555556
37,circles,10,0.0,svm,0.1,2,0.5555555555555556,0.0,0.5555555555555556
38,circles,10,0.0,svm,1.0,2,0.5555555555555556,0.0,0.5555555555555556
39,circles,10,0.0,svm,10.0,2,1.0,1.0,0.0
40,circles,10,0.0,svm,100.0,2,1.0,1.0,0.0
41,circles,10,0.0,svm,1000.0,2,1.0,0.0,1.0
42,circles,10,0.0,log_reg,0.001,3,0.5555555555555556,0.0,0.5555555555555556
43,circles,10,0.0,log_reg,0.01,3,0.5555555555555556,0.0,0.5555555555555556
44,circles,10,0.0,log_reg,0.1,3,0.5555555555555556,0.0,0.5555555555555556
45,circles,10,0.0,log_reg,1.0,3,0.6666666666666666,0.0,0.6666666666666666
46,circles,10,0.0,log_reg,10.0,3,0.6666666666666666,1.0,-0.33333333333333337
47,circles,10,0.0,log_reg,100.0,3,0.6666666666666666,1.0,-0.33333333333333337
48,circles,10,0.0,log_reg,1000.0,3,0.6666666666666666,1.0,-0.33333333333333337
49,circles,10,0.0,svm,0.001,3,0.5555555555555556,0.0,0.5555555555555556
50,circles,10,0.0,svm,0.01,3,0.5555555555555556,0.0,0.5555555555555556
51,circles,10,0.0,svm,0.1,3,0.5555555555555556,0.0,0.5555555555555556
52,circles,10,0.0,svm,1.0,3,0.7777777777777778,0.0,0.7777777777777778
53,circles,10,0.0,svm,10.0,3,1.0,0.0,1.0
54,circles,10,0.0,svm,100.0,3,1.0,0.0,1.0
55,circles,10,0.0,svm,1000.0,3,1.0,0.0,1.0
56,circles,10,0.0,log_reg,0.001,4,0.5555555555555556,0.0,0.5555555555555556
57,circles,10,0.0,log_reg,0.01,4,0.5555555555555556,0.0,0.5555555555555556
58,circles,10,0.0,log_reg,0.1,4,0.5555555555555556,0.0,0.5555555555555556
59,circles,10,0.0,log_reg,1.0,4,0.6666666666666666,1.0,-0.33333333333333337
60,circles,10,0.0,log_reg,10.0,4,0.6666666666666666,1.0,-0.33333333333333337
61,circles,10,0.0,log_reg,100.0,4,0.6666666666666666,1.0,-0.33333333333333337
62,circles,10,0.0,log_reg,1000.0,4,0.6666666666666666,1.0,-0.33333333333333337
63,circles,10,0.0,svm,0.001,4,0.5555555555555556,0.0,0.5555555555555556
64,circles,10,0.0,svm,0.01,4,0.5555555555555556,0.0,0.5555555555555556
65,circles,10,0.0,svm,0.1,4,0.5555555555555556,0.0,0.5555555555555556
66,circles,10,0.0,svm,1.0,4,0.5555555555555556,0.0,0.5555555555555556
67,circles,10,0.0,svm,10.0,4,1.0,1.0,0.0
68,circles,10,0.0,svm,100.0,4,1.0,1.0,0.0
69,circles,10,0.0,svm,1000.0,4,1.0,0.0,1.0
70,circles,10,0.0,log_reg,0.001,5,0.5555555555555556,0.0,0.5555555555555556
71,circles,10,0.0,log_reg,0.01,5,0.5555555555555556,0.0,0.5555555555555556
72,circles,10,0.0,log_reg,0.1,5,0.5555555555555556,0.0,0.5555555555555556
73,circles,10,0.0,log_reg,1.0,5,0.5555555555555556,0.0,0.5555555555555556
74,circles,10,0.0,log_reg,10.0,5,0.5555555555555556,0.0,0.5555555555555556
75,circles,10,0.0,log_reg,100.0,5,0.5555555555555556,0.0,0.5555555555555556
76,circles,10,0.0,log_reg,1000.0,5,0.5555555555555556,0.0,0.5555555555555556
77,circles,10,0.0,svm,0.001,5,0.5555555555555556,0.0,0.5555555555555556
78,circles,10,0.0,svm,0.01,5,0.5555555555555556,0.0,0.5555555555555556
79,circles,10,0.0,svm,0.1,5,0.5555555555555556,0.0,0.5555555555555556
80,circles,10,0.0,svm,1.0,5,0.6666666666666666,0.0,0.6666666666666666
81,circles,10,0.0,svm,10.0,5,0.8888888888888888,1.0,-0.11111111111111116
82,circles,10,0.0,svm,100.0,5,1.0,1.0,0.0
83,circles,10,0.0,svm,1000.0,5,1.0,1.0,0.0
84,circles,10,0.0,log_reg,0.001,6,0.5555555555555556,0.0,0.5555555555555556
85,circles,10,0.0,log_reg,0.01,6,0.5555555555555556,0.0,0.5555555555555556
86,circles,10,0.0,log_reg,0.1,6,0.5555555555555556,0.0,0.5555555555555556
87,circles,10,0.0,log_reg,1.0,6,0.5555555555555556,0.0,0.5555555555555556
88,circles,10,0.0,log_reg,10.0,6,0.5555555555555556,0.0,0.5555555555555556
89,circles,10,0.0,log_reg,100.0,6,0.6666666666666666,0.0,0.6666666666666666
90,circles,10,0.0,log_reg,1000.0,6,0.6666666666666666,0.0,0.6666666666666666
91,circles,10,0.0,svm,0.001,6,0.5555555555555556,0.0,0.5555555555555556
92,circles,10,0.0,svm,0.01,6,0.5555555555555556,0.0,0.5555555555555556
93,circles,10,0.0,svm,0.1,6,0.5555555555555556,0.0,0.5555555555555556
94,circles,10,0.0,svm,1.0,6,0.7777777777777778,0.0,0.7777777777777778
95,circles,10,0.0,svm,10.0,6,1.0,0.0,1.0
96,circles,10,0.0,svm,100.0,6,1.0,0.0,1.0
97,circles,10,0.0,svm,1000.0,6,1.0,0.0,1.0
98,circles,10,0.0,log_reg,0.001,7,0.5555555555555556,0.0,0.5555555555555556
99,circles,10,0.0,log_reg,0.01,7,0.5555555555555556,0.0,0.5555555555555556
100,circles,10,0.0,log_reg,0.1,7,0.5555555555555556,0.0,0.5555555555555556
