,ds_type,n_samples,noise_level,clf_type,param,k,train_acc,test_acc,error_diff
0,moons,10000,0.0,svm,0.1,0,1.0,1.0,0.0
1,moons,10000,0.0,svm,0.3,0,1.0,1.0,0.0
2,moons,10000,0.0,svm,0.5,0,1.0,1.0,0.0
3,moons,10000,0.0,svm,0.7,0,1.0,1.0,0.0
4,moons,10000,0.0,svm,0.9,0,1.0,1.0,0.0
5,moons,10000,0.0,svm,1.0,0,1.0,1.0,0.0
6,moons,10000,0.0,svm,0.1,1,1.0,1.0,0.0
7,moons,10000,0.0,svm,0.3,1,1.0,1.0,0.0
8,moons,10000,0.0,svm,0.5,1,1.0,1.0,0.0
9,moons,10000,0.0,svm,0.7,1,1.0,1.0,0.0
10,moons,10000,0.0,svm,0.9,1,1.0,1.0,0.0
11,moons,10000,0.0,svm,1.0,1,1.0,1.0,0.0
12,moons,10000,0.0,svm,0.1,2,1.0,1.0,0.0
13,moons,10000,0.0,svm,0.3,2,1.0,1.0,0.0
14,moons,10000,0.0,svm,0.5,2,1.0,1.0,0.0
15,moons,10000,0.0,svm,0.7,2,1.0,1.0,0.0
16,moons,10000,0.0,svm,0.9,2,1.0,1.0,0.0
17,moons,10000,0.0,svm,1.0,2,1.0,1.0,0.0
18,moons,10000,0.0,svm,0.1,3,1.0,1.0,0.0
19,moons,10000,0.0,svm,0.3,3,1.0,1.0,0.0
20,moons,10000,0.0,svm,0.5,3,1.0,1.0,0.0
21,moons,10000,0.0,svm,0.7,3,1.0,1.0,0.0
22,moons,10000,0.0,svm,0.9,3,1.0,1.0,0.0
23,moons,10000,0.0,svm,1.0,3,1.0,1.0,0.0
24,moons,10000,0.0,svm,0.1,4,1.0,1.0,0.0
25,moons,10000,0.0,svm,0.3,4,1.0,1.0,0.0
26,moons,10000,0.0,svm,0.5,4,1.0,1.0,0.0
27,moons,10000,0.0,svm,0.7,4,1.0,1.0,0.0
28,moons,10000,0.0,svm,0.9,4,1.0,1.0,0.0
29,moons,10000,0.0,svm,1.0,4,1.0,1.0,0.0
30,moons,10000,0.0,svm,0.1,5,1.0,1.0,0.0
31,moons,10000,0.0,svm,0.3,5,1.0,1.0,0.0
32,moons,10000,0.0,svm,0.5,5,1.0,1.0,0.0
33,moons,10000,0.0,svm,0.7,5,1.0,1.0,0.0
34,moons,10000,0.0,svm,0.9,5,1.0,1.0,0.0
35,moons,10000,0.0,svm,1.0,5,1.0,1.0,0.0
36,moons,10000,0.0,svm,0.1,6,1.0,1.0,0.0
37,moons,10000,0.0,svm,0.3,6,1.0,1.0,0.0
38,moons,10000,0.0,svm,0.5,6,1.0,1.0,0.0
39,moons,10000,0.0,svm,0.7,6,1.0,1.0,0.0
40,moons,10000,0.0,svm,0.9,6,1.0,1.0,0.0
41,moons,10000,0.0,svm,1.0,6,1.0,1.0,0.0
42,moons,10000,0.0,svm,0.1,7,1.0,1.0,0.0
43,moons,10000,0.0,svm,0.3,7,1.0,1.0,0.0
44,moons,10000,0.0,svm,0.5,7,1.0,1.0,0.0
45,moons,10000,0.0,svm,0.7,7,1.0,1.0,0.0
46,moons,10000,0.0,svm,0.9,7,1.0,1.0,0.0
